"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","650","Scenario 3 - Checkout","chromium","2026-07-21","failed","2026-07-21","","checkout.spec.ts","",""
"","668","Scenario 4 - Negative Test","chromium","2026-07-21","failed","2026-07-21","","login.spec.ts","",""
"","571","Scenario 1 - Login","chromium","2026-07-21","failed","2026-07-21","","login.spec.ts","",""
"","672","Scenario 2 - Shopping Cart","chromium","2026-07-21","failed","2026-07-21","","cart.spec.ts","",""
